vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,pulled_at,rt_chunk
4330,20260218 17:31,41.87332978682085,-87.62764337713068,177,7107,6,79th/South Shore,9460,False,22224073,273988797,6 -160,,1,N/A,61140,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8484,20260218 17:31,41.79456225308505,-87.58393859863281,180,7107,6,79th/South Shore,43675,False,22224072,273988796,6 -115,,1,N/A,60540,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8329,20260218 17:31,41.788490466217496,-87.58664293431524,183,7107,6,79th/South Shore,46464,False,22224071,273988795,6 -153,,1,N/A,59940,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
4329,20260218 17:31,41.77353000640869,-87.56679248809814,134,7107,6,79th/South Shore,57304,False,22224070,273988794,6 -155,,1,N/A,59340,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8527,20260218 17:31,41.756640911102295,-87.55305004119873,139,7107,6,79th/South Shore,65355,False,22224069,273988793,6 -161,,1,N/A,58740,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8511,20260218 17:31,41.75201416015625,-87.5453389485677,267,7107,6,79th/South Shore,69141,False,22224068,273988801,6 -159,,1,N/A,58140,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
4053,20260218 17:31,41.760490651033365,-87.55708017154616,327,14134,6,Wacker/Columbus,5399,False,22224081,273988893,6 -158,,1,N/A,62760,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
4316,20260218 17:31,41.779433494390446,-87.5864564762559,355,14134,6,Wacker/Columbus,19146,False,22224080,273988892,6 -157,,1,N/A,61830,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8342,20260218 17:31,41.811275482177734,-87.58924865722656,326,14134,6,Wacker/Columbus,32845,False,22224079,273988891,6 -117,,1,N/A,60960,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
4091,20260218 17:31,41.87317498524984,-87.62329165140788,268,14134,6,Wacker/Columbus,58245,False,22224078,273988890,6 -156,,1,N/A,60150,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
