vid,tmstmp,rt,des,lat,lon,pdist,dly,matched_trip_id,prev_stop_name,next_stop_name,scheduled_arrival_next_minutes,delay_minutes,on_time_status,dist_from_next_stop_km,time_match_score_minutes,is_ghost,ghost_score,ghost_frozen,ghost_jump
1039,2026-02-19 23:39:00,77,Diversey/Lake Shore,41.93941116333008,-87.69528566557786,38048,False,6770021855020,Michigan & 24th Street,Michigan & 23rd Street,1420.300048828125,-1.3,early,11.468,1.87,False,0,False,False
1039,2026-02-19 23:40:00,77,Diversey/Lake Shore,41.93944799900055,-87.69062662124634,39310,False,6770018990020,Michigan & Washington,Michigan & Monroe,1418.5999755859375,1.4,on_time,8.526,0.1,False,0,False,False
1046,2026-02-19 23:38:00,77,Diversey/Lake Shore,41.93804168701172,-87.80404472351074,8521,False,6770021552020,Michigan & 26th Street,Michigan & 28th Street,1417.449951171875,0.6,on_time,18.284,0.7,False,0,False,False
1046,2026-02-19 23:39:00,77,Diversey/Lake Shore,41.938079833984375,-87.80139057056324,9245,False,6770028722020,Cottage Grove & Payne,Cottage Grove & 52nd Street,1418.0833740234375,0.9,on_time,22.247,0.15,False,0,False,False
1046,2026-02-19 23:40:00,77,Diversey/Lake Shore,41.93809127807617,-87.80073165893555,9424,False,6770046984010,Cottage Grove & 79th Street,Cottage Grove & 80th Street,1417.0,3.0,on_time,26.484,1.14,False,0,False,False
1092,2026-02-19 23:38:00,4,Illinois Center,41.87836296613826,-87.62421062380768,75600,False,6770019752010,S. Shore Drive & 79th Street,S. Shore Drive & Cheltenham,1419.4832763671875,-1.5,early,15.18,0.75,False,0,False,False
1092,2026-02-19 23:39:00,4,Illinois Center,41.880591652610086,-87.62425162575461,76409,False,6770002100020,5440 S S Hyde Park,S Hyde Park & 54th Street,1420.2166748046875,-1.2,early,9.734,2.14,False,0,False,False
1095,2026-02-19 23:38:00,3,95th Red Line,41.718207768031526,-87.62322499800702,73425,False,6770025305010,Stony Island & 64th Street,Stony Island & 65th Street,1415.5999755859375,2.4,on_time,7.222,2.55,False,0,False,False
1095,2026-02-19 23:40:00,3,95th Red Line,41.718207768031526,-87.62322499800702,73425,False,6770008590010,S. Shore Drive & 79th Street,79th Street & Lake Shore Drive,1418.0,2.0,on_time,7.5,0.46,False,1,True,False
1104,2026-02-19 23:38:00,20,Austin,41.88158416748047,-87.66482053484235,10807,False,6770025136070,1100 S Columbus (Pedestrian Underpass),Lake Park & 47th Street,1424.1666259765625,-6.2,early,10.11,1.68,False,0,False,False
1104,2026-02-19 23:40:00,20,Austin,41.881360735212056,-87.67397635323661,13302,False,6770029523020,Michigan & Monroe,Michigan & Madison,1418.2667236328125,1.7,on_time,4.121,0.44,False,0,False,False
1108,2026-02-19 23:38:00,20,Michigan,41.8817253112793,-87.65062713623047,33775,False,6770018251020,Halsted & Diversey,Halsted & Schubert,1418.2332763671875,-0.2,on_time,5.54,0.07,False,0,False,False
1109,2026-02-19 23:38:00,72,Pulaski,41.90980911254883,-87.72793579101562,20771,False,6770026076010,Halsted & 41st Street,Halsted & Pershing,1419.0167236328125,-1.0,on_time,11.777,0.29,False,0,False,False
1116,2026-02-19 23:38:00,35,36th/Kedzie,41.830902099609375,-87.64054517392759,8228,False,6770030890020,Halsted & 16th Street,Halsted & 14th Place,1418.7332763671875,-0.7,on_time,3.519,0.6,False,0,False,False
1116,2026-02-19 23:40:00,35,36th/Kedzie,41.83073043823242,-87.64781471535012,10222,False,6770018968020,Halsted & 52nd Street,Halsted & 53rd Street,1419.699951171875,0.3,on_time,3.676,1.6,False,0,False,False
1126,2026-02-19 23:38:00,53,Peterson,41.824581347013776,-87.72400665283203,30027,False,6770045774020,Halsted & 76th Street,Halsted & 77th Street,1415.5333251953125,2.5,on_time,10.251,3.14,False,0,False,False
1126,2026-02-19 23:40:00,53,Peterson,41.83283374184057,-87.72426792613247,33048,False,6770045774020,Halsted & 76th Street,Halsted & 77th Street,1415.5333251953125,4.5,on_time,10.981,2.59,False,0,False,False
1182,2026-02-19 23:38:00,29,95th Red Line,41.722774505615234,-87.62433386908637,68778,False,6770030890020,Halsted & 14th Place,Halsted & Maxwell,1419.699951171875,-1.7,early,15.889,0.78,False,0,False,False
